[1028/221953.402:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 437
[1028/221953.758:ERROR:cmd_buffer_helper.cc(141)] ContextResult::kFatalFailure: CommandBufferHelper::AllocateRingBuffer() failed
[1029/081425.674:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/081430.716:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105150.298:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105155.319:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105200.346:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105205.361:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105210.375:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105215.394:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105220.411:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105225.428:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105230.488:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105235.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105240.514:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105245.523:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105250.551:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105255.567:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105300.667:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105305.683:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105310.801:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105316.056:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105321.087:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105326.119:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105331.150:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105336.197:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105341.261:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105346.388:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105351.497:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/105356.509:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153857.849:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153902.861:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153907.890:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153912.900:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153917.912:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153922.931:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153927.948:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153932.960:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153937.974:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153942.987:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153948.002:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153953.016:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/153958.031:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154003.044:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154008.065:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154013.081:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154050.190:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154055.216:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/162431.559:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[1029/191008.288:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191013.338:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191018.417:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191023.536:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191028.566:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191033.585:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191038.624:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191043.663:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191048.726:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191053.764:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191058.787:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191103.803:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191108.855:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191113.935:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191118.975:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191124.019:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191129.029:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191134.104:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191139.208:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191144.234:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191149.266:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191154.312:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191159.334:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191204.356:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191209.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191214.394:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191219.408:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191224.423:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191229.523:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191234.566:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/191239.595:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
